
2025/03/26 (09:19:00) | ===> btop++ v.1.3.0
2025/03/26 (09:19:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (09:19:25) | ===> btop++ v.1.3.0
2025/03/26 (09:19:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (09:29:27) | ===> btop++ v.1.3.0
2025/03/26 (09:29:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (09:36:44) | ===> btop++ v.1.3.0
2025/04/01 (09:36:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (09:48:33) | ===> btop++ v.1.3.0
2025/04/01 (09:48:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (09:49:19) | ===> btop++ v.1.3.0
2025/04/01 (09:49:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (09:49:57) | ===> btop++ v.1.3.0
2025/04/01 (09:49:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (09:50:55) | ===> btop++ v.1.3.0
2025/04/01 (09:50:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (09:51:11) | ===> btop++ v.1.3.0
2025/04/01 (09:51:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (09:54:24) | ===> btop++ v.1.3.0
2025/04/01 (09:54:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/03 (08:51:53) | ===> btop++ v.1.3.0
2025/04/03 (08:51:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/08 (23:23:11) | ===> btop++ v.1.3.0
2025/04/08 (23:23:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/08 (23:23:12) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:23:12) | WARNING: NVML: Failed to get GPU power usage: No data
2025/04/08 (23:23:13) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:23:13) | WARNING: NVML: Failed to get GPU power usage: No data
2025/04/08 (23:23:14) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:23:15) | WARNING: NVML: Failed to get GPU power usage: No data
2025/04/08 (23:23:16) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:23:16) | WARNING: NVML: Failed to get GPU power usage: No data
2025/04/08 (23:23:17) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:23:17) | WARNING: NVML: Failed to get GPU power usage: No data

2025/04/08 (23:27:59) | ===> btop++ v.1.3.0
2025/04/08 (23:27:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/08 (23:28:00) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:28:00) | WARNING: NVML: Failed to get GPU power usage: No data
2025/04/08 (23:28:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:28:01) | WARNING: NVML: Failed to get GPU power usage: No data
2025/04/08 (23:28:02) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:28:02) | WARNING: NVML: Failed to get GPU power usage: No data
2025/04/08 (23:28:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:28:03) | WARNING: NVML: Failed to get GPU power usage: No data
2025/04/08 (23:28:04) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:28:04) | WARNING: NVML: Failed to get GPU power usage: No data
2025/04/08 (23:28:05) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:28:05) | WARNING: NVML: Failed to get GPU power usage: No data
2025/04/08 (23:28:06) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:28:06) | WARNING: NVML: Failed to get GPU power usage: No data
2025/04/08 (23:28:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:28:08) | WARNING: NVML: Failed to get GPU power usage: No data

2025/04/08 (23:31:47) | ===> btop++ v.1.3.0
2025/04/08 (23:31:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/08 (23:31:47) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:31:47) | WARNING: NVML: Failed to get GPU power usage: No data
2025/04/08 (23:31:48) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/04/08 (23:31:48) | WARNING: NVML: Failed to get GPU power usage: No data

2025/04/10 (13:06:20) | ===> btop++ v.1.3.0
2025/04/10 (13:06:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/28 (10:40:07) | ===> btop++ v.1.3.0
2025/04/28 (10:40:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/28 (11:41:52) | ===> btop++ v.1.3.0
2025/04/28 (11:41:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/03 (09:06:22) | ===> btop++ v.1.3.0
2025/06/03 (09:06:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/10 (13:48:55) | ===> btop++ v.1.3.0
2025/07/10 (13:48:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/10 (16:19:10) | ===> btop++ v.1.3.0
2025/07/10 (16:19:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/10 (16:19:45) | ===> btop++ v.1.3.0
2025/07/10 (16:19:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/15 (14:35:14) | ===> btop++ v.1.3.0
2025/07/15 (14:35:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/13 (17:38:46) | ===> btop++ v.1.3.0
2025/08/13 (17:38:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/13 (17:39:26) | ===> btop++ v.1.3.0
